SipAddress,RegistrarPool
sip:Test.User1@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User2@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User3@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User4@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User5@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User6@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User7@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User8@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User9@DeathStar.co.uk,LyncPool.ds.co.uk
sip:Test.User10@DeathStar.co.uk,LyncPool.ds.co.uk
